* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
0 1s 0s 0s 0s 0s 0s 0s 0s
4.88281e-10 1s 0s 0s 0s 0s 0s 0s 0s
9.76562e-10 1s 0s 0s 0s 0s 0s 0s 1s
1.46484e-09 1s 0s 0s 0s 0s 0s 1s 0s
1.95312e-09 1s 0s 0s 0s 0s 0s 1s 1s
2.44141e-09 1s 0s 0s 0s 0s 0s 1s 1s
2.92969e-09 1s 0s 0s 0s 0s 1s 0s 0s
3.41797e-09 1s 0s 0s 0s 0s 1s 0s 1s
3.90625e-09 1s 0s 0s 0s 0s 1s 1s 0s
4.39453e-09 1s 0s 0s 0s 0s 1s 1s 1s
4.88281e-09 1s 0s 0s 0s 0s 1s 1s 1s
5.37109e-09 1s 0s 0s 0s 1s 0s 0s 0s
5.85938e-09 1s 0s 0s 0s 1s 0s 0s 1s
6.34766e-09 1s 0s 0s 0s 1s 0s 1s 0s
6.83594e-09 1s 0s 0s 0s 1s 0s 1s 0s
7.32422e-09 1s 0s 0s 0s 1s 0s 1s 1s
7.8125e-09 1s 0s 0s 0s 1s 1s 0s 0s
8.30078e-09 1s 0s 0s 0s 1s 1s 0s 1s
8.78906e-09 1s 0s 0s 0s 1s 1s 1s 0s
9.27734e-09 1s 0s 0s 0s 1s 1s 1s 0s
9.76562e-09 1s 0s 0s 0s 1s 1s 1s 1s
1.02539e-08 1s 0s 0s 1s 0s 0s 0s 0s
1.07422e-08 1s 0s 0s 1s 0s 0s 0s 1s
1.12305e-08 1s 0s 0s 1s 0s 0s 0s 1s
1.17188e-08 1s 0s 0s 1s 0s 0s 1s 0s
1.2207e-08 1s 0s 0s 1s 0s 0s 1s 1s
1.26953e-08 1s 0s 0s 1s 0s 1s 0s 0s
1.31836e-08 1s 0s 0s 1s 0s 1s 0s 1s
1.36719e-08 1s 0s 0s 1s 0s 1s 0s 1s
1.41602e-08 1s 0s 0s 1s 0s 1s 1s 0s
1.46484e-08 1s 0s 0s 1s 0s 1s 1s 1s
1.51367e-08 1s 0s 0s 1s 1s 0s 0s 0s
1.5625e-08 1s 0s 0s 1s 1s 0s 0s 0s
1.61133e-08 1s 0s 0s 1s 1s 0s 0s 1s
1.66016e-08 1s 0s 0s 1s 1s 0s 1s 0s
1.70898e-08 1s 0s 0s 1s 1s 0s 1s 1s
1.75781e-08 1s 0s 0s 1s 1s 0s 1s 1s
1.80664e-08 1s 0s 0s 1s 1s 1s 0s 0s
1.85547e-08 1s 0s 0s 1s 1s 1s 0s 1s
1.9043e-08 1s 0s 0s 1s 1s 1s 1s 0s
1.95312e-08 1s 0s 0s 1s 1s 1s 1s 0s
2.00195e-08 1s 0s 0s 1s 1s 1s 1s 1s
2.05078e-08 1s 0s 1s 0s 0s 0s 0s 0s
