* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
0 1s 0s 0s 0s 0s 0s 0s 0s
1e-06 1s 0s 0s 0s 1s 1s 1s 1s
2e-06 1s 0s 0s 1s 1s 1s 1s 1s
3e-06 1s 0s 1s 0s 1s 1s 1s 0s
4e-06 1s 0s 1s 1s 1s 1s 0s 1s
5e-06 1s 1s 0s 0s 1s 0s 1s 0s
6e-06 1s 1s 0s 1s 0s 1s 1s 1s
7e-06 1s 1s 1s 0s 0s 0s 1s 0s
8e-06 1s 1s 1s 0s 1s 0s 1s 1s
9e-06 1s 1s 1s 1s 0s 0s 1s 1s
1e-05 1s 1s 1s 1s 1s 0s 0s 1s
1.1e-05 1s 1s 1s 1s 1s 1s 0s 1s
1.2e-05 1s 1s 1s 1s 1s 1s 1s 1s
1.3e-05 1s 1s 1s 1s 1s 1s 1s 1s
1.4e-05 1s 1s 1s 1s 1s 1s 0s 1s
1.5e-05 1s 1s 1s 1s 1s 0s 0s 1s
1.6e-05 1s 1s 1s 1s 0s 0s 1s 1s
1.7e-05 1s 1s 1s 0s 1s 0s 1s 1s
1.8e-05 1s 1s 1s 0s 0s 0s 1s 0s
1.9e-05 1s 1s 0s 1s 0s 1s 1s 1s
2e-05 1s 1s 0s 0s 1s 0s 1s 0s
2.1e-05 1s 0s 1s 1s 1s 1s 0s 1s
2.2e-05 1s 0s 1s 0s 1s 1s 1s 0s
2.3e-05 1s 0s 0s 1s 1s 1s 1s 1s
2.4e-05 1s 0s 0s 0s 1s 1s 1s 1s
2.5e-05 1s 0s 0s 0s 0s 0s 0s 0s
2.6e-05 0s 1s 1s 1s 0s 0s 0s 0s
2.7e-05 0s 1s 1s 0s 0s 0s 0s 0s
2.8e-05 0s 1s 0s 1s 0s 0s 0s 1s
2.9e-05 0s 1s 0s 0s 0s 0s 1s 0s
3e-05 0s 0s 1s 1s 0s 1s 0s 1s
3.1e-05 0s 0s 1s 0s 1s 0s 0s 0s
3.2e-05 0s 0s 0s 1s 1s 1s 0s 1s
3.3e-05 0s 0s 0s 1s 0s 1s 0s 0s
3.4e-05 0s 0s 0s 0s 1s 1s 0s 0s
3.5e-05 0s 0s 0s 0s 0s 1s 1s 0s
3.6e-05 0s 0s 0s 0s 0s 0s 1s 0s
3.7e-05 0s 0s 0s 0s 0s 0s 0s 0s
3.8e-05 0s 0s 0s 0s 0s 0s 0s 0s
3.9e-05 0s 0s 0s 0s 0s 0s 1s 0s
4e-05 0s 0s 0s 0s 0s 1s 1s 0s
4.1e-05 0s 0s 0s 0s 1s 1s 0s 0s
4.2e-05 0s 0s 0s 1s 0s 1s 0s 0s
4.3e-05 0s 0s 0s 1s 1s 1s 0s 1s
4.4e-05 0s 0s 1s 0s 1s 0s 0s 0s
4.5e-05 0s 0s 1s 1s 0s 1s 0s 1s
4.6e-05 0s 1s 0s 0s 0s 0s 1s 0s
4.7e-05 0s 1s 0s 1s 0s 0s 0s 1s
4.8e-05 0s 1s 1s 0s 0s 0s 0s 0s
4.9e-05 0s 1s 1s 1s 0s 0s 0s 0s
5e-05 0s 1s 1s 1s 1s 1s 1s 1s
5.1e-05 1s 0s 0s 0s 1s 1s 1s 1s
5.2e-05 1s 0s 0s 1s 1s 1s 1s 1s
5.3e-05 1s 0s 1s 0s 1s 1s 1s 0s
5.4e-05 1s 0s 1s 1s 1s 1s 0s 1s
5.5e-05 1s 1s 0s 0s 1s 0s 1s 0s
5.6e-05 1s 1s 0s 1s 0s 1s 1s 1s
5.7e-05 1s 1s 1s 0s 0s 0s 1s 0s
5.8e-05 1s 1s 1s 0s 1s 0s 1s 1s
5.9e-05 1s 1s 1s 1s 0s 0s 1s 1s
6e-05 1s 1s 1s 1s 1s 0s 0s 1s
6.1e-05 1s 1s 1s 1s 1s 1s 0s 1s
6.2e-05 1s 1s 1s 1s 1s 1s 1s 1s
6.3e-05 1s 1s 1s 1s 1s 1s 1s 1s
6.4e-05 1s 1s 1s 1s 1s 1s 0s 1s
